City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
116,Kurumkan,RU,2021-04-11 18:37:38,54.3,110.3,14.9,56,1,3.62
117,Cidreira,BR,2021-04-11 18:37:39,-30.1811,-50.2056,85.82,55,83,1.86
118,Lahaina,US,2021-04-11 18:36:15,20.8783,-156.6825,69.8,83,20,3.24
119,Schleswig,DE,2021-04-11 18:37:39,54.5167,9.55,39.0,87,100,14.97
120,Winslow,US,2021-04-11 18:37:39,35.0242,-110.6974,75.99,7,1,8.05
121,Antalaha,MG,2021-04-11 18:37:40,-14.9003,50.2788,74.8,87,100,6.17
122,Harper,LR,2021-04-11 18:33:19,4.375,-7.7169,81.3,80,99,8.68
123,Olinda,BR,2021-04-11 18:37:40,-8.0089,-34.8553,75.2,83,75,13.8
124,Alegrete,BR,2021-04-11 18:37:40,-29.7831,-55.7919,72.09,53,100,14.79
125,Prachuap Khiri Khan,TH,2021-04-11 18:37:41,12.2167,99.75,72.97,89,48,2.48
126,Kankon,IN,2021-04-11 18:37:41,15.0167,74.0167,80.6,69,40,5.75
127,Powassan,CA,2021-04-11 18:37:41,46.0334,-79.3496,66.2,59,90,14.97
128,Beoumi,CI,2021-04-11 18:37:42,7.6736,-5.5764,87.8,55,40,4.61
129,Aksu,CN,2021-04-11 18:37:42,41.1231,80.2644,57.92,26,0,6.8
130,Valday,RU,2021-04-11 18:37:44,57.9747,33.2525,43.81,91,100,5.86
131,The Valley,AI,2021-04-11 18:36:43,18.217,-63.0578,84.2,54,20,12.66
132,Mount Isa,AU,2021-04-11 18:36:43,-20.7333,139.5,66.2,30,0,13.8
133,Antas,PT,2021-04-11 18:37:44,41.7364,-8.3089,52.0,69,0,10.0
134,Kaoma,ZM,2021-04-11 18:37:45,-14.7833,24.8,62.13,64,0,5.53
135,Porto Santo,PT,2021-04-11 18:37:45,33.072,-16.3415,66.2,88,40,8.05
136,Purepero,MX,2021-04-11 18:37:45,19.9167,-102.0167,80.01,29,20,8.05
137,Chunskiy,RU,2021-04-11 18:37:46,56.0815,99.6342,25.81,88,100,3.58
138,Mwene-Ditu,CD,2021-04-11 18:37:46,-7.0,23.45,66.61,95,100,2.66
139,Abalak,RU,2021-04-11 18:37:46,58.1286,68.5944,42.26,81,100,10.36
140,Svetlaya,RU,2021-04-11 18:37:47,46.5389,138.3297,41.16,80,100,9.93
141,Tautira,PF,2021-04-11 18:37:47,-17.7333,-149.15,82.4,65,75,3.44
142,Sambava,MG,2021-04-11 18:34:41,-14.2667,50.1667,76.68,88,100,10.87
143,Hilton Head Island,US,2021-04-11 18:36:52,32.2163,-80.7526,71.01,68,90,6.91
144,Pasni,PK,2021-04-11 18:37:48,25.2631,63.471,78.91,71,0,12.53
145,Wuwei,CN,2021-04-11 18:37:48,37.9281,102.6414,44.83,72,5,5.68
146,Fort Nelson,CA,2021-04-11 18:37:48,58.8053,-122.7002,21.2,45,20,10.36
147,Montijo,PT,2021-04-11 18:36:40,38.7067,-8.9739,62.6,63,20,10.36
148,Batemans Bay,AU,2021-04-11 18:35:57,-35.7167,150.1833,52.0,59,6,1.01
149,Polyarnyy,RU,2021-04-11 18:33:11,69.1989,33.4478,33.8,80,40,6.71
150,Broken Hill,AU,2021-04-11 18:37:49,-31.95,141.4333,44.6,65,43,3.44
151,Comodoro Rivadavia,AR,2021-04-11 18:34:31,-45.8667,-67.5,68.0,52,0,8.05
152,Hazleton,US,2021-04-11 18:35:56,40.9584,-75.9746,57.99,94,90,6.91
153,Usinsk,RU,2021-04-11 18:37:50,65.9939,57.5281,33.19,78,21,20.09
154,Sept-Iles,CA,2021-04-11 18:36:59,50.2001,-66.3821,57.2,51,90,4.61
155,Caucaia,BR,2021-04-11 18:37:50,-3.7361,-38.6531,82.99,78,75,8.05
156,Padang,ID,2021-04-11 18:37:51,-0.9492,100.3543,77.0,94,90,6.91
157,La Paz,BO,2021-04-11 18:33:47,-16.5,-68.15,51.8,66,75,9.22
158,Herat,AF,2021-04-11 18:37:51,34.5,62.0,75.2,20,0,3.44
159,Setermoen,NO,2021-04-11 18:37:51,68.861,18.3486,32.0,93,75,5.75
160,Novovarshavka,RU,2021-04-11 18:37:52,54.1721,74.6946,31.15,93,96,4.61
161,Oussouye,SN,2021-04-11 18:37:52,12.485,-16.5469,89.6,73,0,11.5
162,Talagang,PK,2021-04-11 18:37:52,32.9297,72.4158,72.25,42,100,2.91
163,La Ronge,CA,2021-04-11 18:36:28,55.1001,-105.2842,32.0,64,100,8.05
164,Margate,GB,2021-04-11 18:37:53,51.3813,1.3862,42.01,70,88,3.0
165,Shenjiamen,CN,2021-04-11 18:37:53,29.9576,122.298,60.3,96,100,13.73
166,Oskemen,KZ,2021-04-11 18:37:53,49.9565,82.6119,30.2,93,0,2.24
167,Manzanillo,CU,2021-04-11 18:37:54,20.3433,-77.1167,90.03,45,100,12.08
168,Abu Samrah,SY,2021-04-11 18:37:54,35.3029,37.1841,46.71,68,3,8.97
169,San Vicente,AR,2021-04-11 18:34:53,-26.6167,-54.1333,85.66,41,61,6.2
170,Haverfordwest,GB,2021-04-11 18:37:55,51.8017,-4.9691,43.0,68,7,1.01
171,Kayes,ML,2021-04-11 18:37:55,14.0,-11.0,102.56,9,0,4.59
172,Havoysund,NO,2021-04-11 18:37:56,70.9963,24.6622,35.6,80,90,31.07
173,Nampula,MZ,2021-04-11 18:37:56,-15.1165,39.2666,75.2,88,75,6.91
174,Prince Rupert,CA,2021-04-11 18:37:24,54.3161,-130.3201,41.0,75,20,5.75
175,Huayang,CN,2021-04-11 18:37:57,34.4155,109.9939,42.31,85,100,3.11
176,Sijunjung,ID,2021-04-11 18:37:57,-0.6876,100.9537,72.16,98,100,1.28
177,Manokwari,ID,2021-04-11 18:34:32,-0.8667,134.0833,77.88,81,99,5.32
178,Hovd,MN,2021-04-11 18:37:57,48.0056,91.6419,30.31,29,0,6.06
179,Chulym,RU,2021-04-11 18:36:38,55.0997,80.9572,32.11,93,100,5.88
180,Inirida,CO,2021-04-11 18:37:58,3.8653,-67.9239,85.08,72,100,1.01
181,Nanortalik,GL,2021-04-11 18:37:58,60.1432,-45.2371,38.48,65,0,4.27
182,Christchurch,NZ,2021-04-11 18:35:16,-43.5333,172.6333,55.0,94,3,5.75
