City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
133,Pahrump,US,36.2083,-115.9839,86.0,6,98,4.0,overcast clouds
134,Urumqi,CN,43.801,87.6005,44.6,29,0,4.47,clear sky
135,Vestmannaeyjar,IS,63.4427,-20.2734,41.65,86,100,17.92,overcast clouds
136,Jibuti,DJ,11.5,42.5,80.6,78,1,12.86,haze
137,Nisia Floresta,BR,-6.0911,-35.2086,80.6,83,75,9.22,broken clouds
138,Ossora,RU,59.2353,163.0719,17.22,67,3,8.7,clear sky
139,Andenes,NO,69.3143,16.1194,33.8,75,75,11.5,broken clouds
140,Bubaque,GW,11.2833,-15.8333,77.0,73,6,14.07,clear sky
141,Chokurdakh,RU,70.6333,147.9167,-6.03,91,54,11.34,broken clouds
142,Ostrovnoy,RU,68.0531,39.5131,31.41,79,66,27.38,broken clouds
143,Khani,GE,41.9563,42.9566,44.6,93,90,2.3,overcast clouds
144,Kruisfontein,ZA,-34.0033,24.7314,59.0,88,80,3.49,broken clouds
145,Ouesso,CG,1.6136,16.0517,70.38,98,88,0.81,overcast clouds
146,Tiznit,MA,29.5833,-9.5,58.1,74,97,3.67,overcast clouds
147,Bonavista,CA,48.6499,-53.1147,35.6,100,100,8.05,moderate rain
148,Mercedes,AR,-34.6515,-59.4307,62.01,93,17,5.61,few clouds
149,Fairbanks,US,64.8378,-147.7164,32.0,37,90,11.5,overcast clouds
150,Oskarshamn,SE,57.2645,16.4484,34.0,91,100,3.47,overcast clouds
151,Saint-Pierre,RE,-21.3393,55.4781,77.0,73,0,4.61,clear sky
152,Vilhena,BR,-12.7406,-60.1458,73.4,94,75,12.66,broken clouds
153,San Patricio,US,28.017,-97.5169,86.0,54,1,16.11,clear sky
154,Yellowknife,CA,62.456,-114.3525,10.0,66,90,5.75,light snow
155,Los Llanos De Aridane,ES,28.6585,-17.9182,68.0,77,0,4.61,clear sky
156,Palauig,PH,15.435,119.9045,79.97,65,60,2.75,broken clouds
157,Srednekolymsk,RU,67.45,153.6833,-8.0,87,79,3.8,broken clouds
158,Khandyga,RU,62.6667,135.6,15.62,89,100,2.71,overcast clouds
159,Morro Bay,US,35.3658,-120.8499,78.01,31,95,1.99,overcast clouds
160,Batemans Bay,AU,-35.7167,150.1833,59.0,53,2,5.99,clear sky
161,Shelburne,CA,44.0787,-80.2041,60.01,75,81,7.92,broken clouds
162,Norman Wells,CA,65.282,-126.8329,6.8,40,1,10.36,clear sky
163,Voh,NC,-20.9667,164.7,73.54,95,100,3.65,overcast clouds
164,Shabo,UA,46.1326,30.386,42.8,56,0,6.71,clear sky
165,Yangcun,CN,39.3639,117.0603,53.01,87,40,2.24,mist
166,Hilo,US,19.7297,-155.09,80.6,44,1,11.5,clear sky
167,Dukat,RU,62.55,155.55,-7.31,92,97,7.23,overcast clouds
168,Provideniya,RU,64.3833,-173.3,11.57,84,100,26.96,light snow
169,Katsuura,JP,35.1333,140.3,59.0,64,24,5.99,few clouds
170,Jabinyanah,TN,35.035,10.9081,64.4,72,40,9.22,scattered clouds
171,Aykhal,RU,66.0,111.5,3.52,99,84,6.15,broken clouds
172,Castro,BR,-24.7911,-50.0119,63.9,74,9,4.92,clear sky
173,Dicabisagan,PH,17.0818,122.4157,76.73,76,77,4.83,broken clouds
174,Deputatskiy,RU,69.3,139.9,-8.68,87,48,2.26,scattered clouds
175,Norsup,VU,-16.0667,167.3833,82.38,70,94,3.22,overcast clouds
176,Cabo San Lucas,MX,22.8909,-109.9124,86.0,36,40,14.97,scattered clouds
177,Suleja,NG,9.1758,7.1808,80.49,61,73,11.3,broken clouds
178,Ponta Do Sol,PT,32.6667,-17.1,63.0,81,100,1.01,overcast clouds
179,Tuatapere,NZ,-46.1333,167.6833,60.01,88,92,8.99,overcast clouds
180,Haines Junction,CA,60.7522,-137.5108,23.0,30,91,4.61,overcast clouds
181,Saint John,CA,45.2727,-66.0677,48.2,66,75,13.8,broken clouds
182,Khuzdar,PK,27.7384,66.6434,68.38,20,16,6.02,few clouds
183,Te Anau,NZ,-45.4167,167.7167,55.02,83,85,0.49,moderate rain
184,Beloha,MG,-25.1667,45.05,71.85,90,22,10.71,few clouds
185,Anadyr,RU,64.75,177.4833,0.0,78,20,11.18,snow
186,Moose Factory,CA,51.2585,-80.6094,39.2,87,90,12.66,overcast clouds
187,Santiago,CL,-33.4569,-70.6483,82.4,13,0,4.61,clear sky
188,Nanakuli,US,21.3906,-158.1547,69.8,73,90,4.61,light rain
189,Aquiraz,BR,-3.9014,-38.3911,78.8,89,0,3.44,clear sky
190,Dunedin,NZ,-45.8742,170.5036,57.0,85,61,5.99,broken clouds
191,Aloleng,PH,16.1307,119.7824,80.51,69,91,4.88,overcast clouds
192,Fortuna,US,40.5982,-124.1573,61.0,66,1,14.97,clear sky
193,Korla,CN,41.7597,86.1469,51.55,43,48,17.87,scattered clouds
194,Nyrob,RU,60.733,56.7202,24.46,99,68,2.98,broken clouds
195,Praia Da Vitoria,PT,38.7333,-27.0667,62.6,88,40,9.82,scattered clouds
196,Levelland,US,33.5873,-102.378,87.01,5,40,13.8,scattered clouds
197,Clyde River,CA,70.4692,-68.5914,28.4,74,20,3.44,few clouds
198,Cananeia,BR,-25.0147,-47.9267,74.14,80,2,2.19,clear sky
199,Pacific Grove,US,36.6177,-121.9166,59.0,63,90,10.36,overcast clouds
200,Cidreira,BR,-30.1811,-50.2056,72.7,83,88,17.02,overcast clouds
201,San Andres,CO,12.5847,-81.7006,84.2,79,20,9.22,few clouds
202,Sakakah,SA,29.9697,40.2064,59.0,25,0,3.44,clear sky
203,Iqaluit,CA,63.7506,-68.5145,30.2,93,90,17.27,overcast clouds
204,Zeya,RU,53.75,127.2667,16.7,59,100,3.29,overcast clouds
205,Tulun,RU,54.5611,100.5792,23.07,90,100,3.38,overcast clouds
206,Saint-Augustin,CA,51.226,-58.6502,42.55,87,88,19.82,overcast clouds
207,Vardo,NO,70.3705,31.1107,33.8,75,75,28.77,broken clouds
208,Kahului,US,20.8947,-156.47,75.2,78,40,11.5,light rain
209,Tasiilaq,GL,65.6145,-37.6368,26.6,68,0,6.4,clear sky
210,Warrington,GB,53.3925,-2.5802,35.01,84,28,5.01,scattered clouds
211,Manta,EC,-0.95,-80.7333,86.0,62,0,8.05,clear sky
212,Salalah,OM,17.0151,54.0924,80.6,74,20,2.3,few clouds
213,Bumbuna,SL,9.05,-11.7333,77.47,82,26,3.67,scattered clouds
214,Toppenish,US,46.3774,-120.3087,53.6,20,1,5.75,clear sky
215,Bhatkal,IN,13.9667,74.5667,78.42,85,10,3.58,clear sky
216,Manokwari,ID,-0.8667,134.0833,80.01,75,96,2.59,overcast clouds
217,Sao Miguel Do Araguaia,BR,-13.275,-50.1628,78.42,65,96,4.23,overcast clouds
218,Pelym,RU,61.0108,61.9978,32.36,93,37,5.68,scattered clouds
219,Nuevo Laredo,MX,27.4763,-99.5164,93.2,33,1,9.01,clear sky
220,Yar-Sale,RU,66.8333,70.8333,32.11,80,87,20.98,overcast clouds
221,Kenai,US,60.5544,-151.2583,26.6,58,90,18.41,overcast clouds
222,Kalaleh,IR,37.3807,55.4916,59.22,88,100,3.04,overcast clouds
223,Kasese,UG,0.1833,30.0833,66.88,78,61,3.2,broken clouds
224,Okha,RU,53.5739,142.9478,23.95,78,98,14.23,overcast clouds
225,Geraldton,AU,-28.7667,114.6,73.4,88,90,17.27,overcast clouds
226,Tecoanapa,MX,16.5167,-98.75,83.05,58,0,11.01,clear sky
227,Antalaha,MG,-14.9003,50.2788,74.03,89,98,6.08,overcast clouds
228,Grand Gaube,MU,-20.0064,57.6608,79.0,82,87,3.0,light rain
229,Husavik,IS,66.0449,-17.3389,33.8,80,75,4.61,broken clouds
230,Guiratinga,BR,-16.3494,-53.7583,75.9,63,57,4.61,broken clouds
231,Karratha,AU,-20.7377,116.8463,82.83,76,53,6.62,broken clouds
232,Caravelas,BR,-17.7125,-39.2481,74.77,83,10,5.03,clear sky
233,Zyryanka,RU,65.75,150.85,-10.66,93,100,2.64,overcast clouds
234,Behshahr,IR,36.6923,53.5526,57.11,93,100,1.16,overcast clouds
235,Faanui,PF,-16.4833,-151.75,82.36,72,100,9.75,overcast clouds
236,Kumylzhenskaya,RU,49.8809,42.5898,51.01,90,99,10.0,overcast clouds
237,Limbang,MY,4.75,115.0,75.2,100,75,2.3,broken clouds
238,Athabasca,CA,54.7169,-113.2854,37.4,48,100,2.3,overcast clouds
239,Nikolskoye,RU,59.7035,30.7861,44.01,60,40,4.47,moderate rain
240,Dubbo,AU,-32.25,148.6167,48.2,76,0,3.44,clear sky
241,Caucaia,BR,-3.7361,-38.6531,78.8,89,0,3.44,clear sky
242,Lagoa,PT,39.05,-27.9833,61.65,84,100,7.61,overcast clouds
243,Byron Bay,AU,-28.65,153.6167,61.0,44,0,9.22,clear sky
244,Jardim,BR,-21.4803,-56.1381,77.11,67,90,3.38,overcast clouds
245,Dzilam Gonzalez,MX,21.2833,-88.9333,83.07,70,0,9.19,clear sky
246,Bengkulu,ID,-3.8004,102.2655,75.16,90,100,4.92,overcast clouds
247,Roma,US,43.2128,-75.4557,66.2,45,90,10.36,overcast clouds
248,Santa Maria,BR,-29.6842,-53.8069,64.4,100,75,11.5,mist
249,Lagos,NG,6.5833,3.75,82.4,78,20,2.3,moderate rain
250,Yinchuan,CN,38.4681,106.2731,44.01,64,22,11.3,few clouds
251,Poum,NC,-20.2333,164.0167,77.41,84,100,9.06,light rain
252,Cukai,MY,4.25,103.4167,77.0,100,56,1.14,broken clouds
253,Artyom,AZ,40.4723,50.333,53.6,76,0,4.61,clear sky
254,Telimele,GN,10.9167,-13.3333,73.45,75,79,2.73,broken clouds
255,Sungaipenuh,ID,-2.0833,101.3833,64.24,93,100,0.89,overcast clouds
256,Murgab,TM,37.4966,61.9714,59.0,44,46,11.5,scattered clouds
257,Avera,US,33.194,-82.5271,77.0,57,1,11.5,clear sky
258,Ko Samui,TH,9.5357,99.9357,84.07,71,87,12.08,overcast clouds
259,Kamarion,GR,36.8,25.8167,55.0,63,1,3.0,clear sky
260,Saldanha,ZA,-33.0117,17.9442,60.8,82,100,5.75,overcast clouds
261,Khetia,IN,21.6667,74.5833,84.31,21,56,5.82,broken clouds
262,Bulaevo,KZ,54.9056,70.4439,29.98,98,99,7.65,overcast clouds
263,Olafsvik,IS,64.8945,-23.7142,35.58,75,97,20.49,overcast clouds
264,Wahiawa,US,21.5028,-158.0236,78.01,73,90,4.61,light rain
265,Novokizhinginsk,RU,51.6115,109.5917,17.38,64,0,4.18,clear sky
266,Makakilo City,US,21.3469,-158.0858,69.8,73,90,4.61,heavy intensity rain
267,Torbay,CA,47.6666,-52.7314,33.01,100,90,12.66,fog
268,Huatulco,MX,15.8436,-96.3267,87.01,61,1,11.5,clear sky
269,Igarka,RU,67.4667,86.5833,25.7,89,100,21.39,overcast clouds
270,Kapuskasing,CA,49.4169,-82.4331,57.2,67,100,12.66,overcast clouds
