City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
311,Honiara,SB,79.45,overcast clouds,-9.4333,159.95,Heritage Park Hotel
323,Bhanpuri,IN,79.57,broken clouds,21.1,80.9167,Bhandari Hotel
333,Kavaratti,IN,82.6,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
335,Tual,ID,82.56,scattered clouds,-5.6667,132.75,Grand Vilia Hotel
339,Hobyo,SO,81.86,scattered clouds,5.3505,48.5268,Halane Hotel and Restaurent
340,Tabou,CI,80.37,broken clouds,4.423,-7.3528,hotêl doufoulougou
341,Riacho De Santana,BR,76.75,overcast clouds,-13.6092,-42.9389,Apartamento de Kaio.
352,Omboue,GA,76.66,overcast clouds,-1.5746,9.2618,Hotel Olako
359,Buala,SB,82.17,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
360,San Cristobal,VE,87.8,scattered clouds,7.7669,-72.225,Posada Villaven C.A.
368,Corrales,US,79.0,clear sky,35.2378,-106.6067,Quality Inn
369,Cayenne,GF,81.0,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
371,Tessalit,ML,85.86,clear sky,20.1986,1.0114,
375,Presidente Dutra,BR,75.78,overcast clouds,-5.29,-44.49,Pousada Planalto
376,Rio Verde De Mato Grosso,BR,77.88,scattered clouds,-18.9181,-54.8442,Hotel Valência
380,Vanimo,PG,79.41,moderate rain,-2.6741,141.3028,Vahmoneh Lodge Vanimo
383,Luanda,AO,80.6,light rain,-8.8368,13.2343,LANDU MARINEZA LUFUANDU TONI
385,Alofi,NU,80.6,broken clouds,-19.0595,-169.9187,Taloa Heights
386,Bodden Town,KY,84.2,few clouds,19.2833,-81.25,Will T Place
396,Cairns,AU,80.6,clear sky,-16.9167,145.7667,Mantra Trilogy Cairns
400,Sambava,MG,75.22,overcast clouds,-14.2667,50.1667,Melrose
403,Calabozo,VE,86.36,broken clouds,8.9242,-67.4293,Hotel Giardini
